Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude
12.9783692,77.6408356,12.9766637,77.5712556
13.0375689,77.6272688,12.9727083,77.7108456
12.937882,77.6930631,12.927743,77.680894
12.9185429,77.6219068,12.8439867,77.6739127
12.9365988,77.6140931,12.9344281,77.6165056
12.9733457,77.6303514,12.9733873,77.6370063
12.9590509,77.7494998,12.9165757,77.6101163
12.9377909,77.6217221,12.936964,77.6217297
12.9377909,77.6217221,12.9345373,77.6304559
12.936964,77.6217297,12.9351433,77.6120748
12.9733457,77.6303514,12.8849254,77.6991283
12.958515,77.6388295,12.916715,77.6140908
12.9352273,77.6244331,12.9726771,77.6318043
12.9352273,77.6244331,12.9185429,77.6219068
12.9733457,77.6303514,12.9733873,77.6370063
12.9402468,77.6179274,12.9376522,77.6224871
13.0579914,77.5919341,12.9726771,77.6318043
12.9726771,77.6318043,13.0572876,77.5945734
12.9733457,77.6303514,13.0397011,77.5897367
13.0572876,77.5945734,12.9726771,77.6318043
13.0572876,77.5945734,12.9726771,77.6318043
13.0572876,77.5945734,12.9981732,77.5530446
13.0572876,77.5945734,13.0397011,77.5897367
12.9185429,77.6219068,12.936964,77.6217297
13.0572876,77.5945734,12.9525755,77.5292796
12.9727083,77.7108456,13.0172076,77.6577424
12.9783692,77.6408356,12.9352273,77.6244331
12.9693799,77.6229447,12.9073282,77.6052799
12.9377909,77.6217221,12.936964,77.6217297
12.8439867,77.6739127,12.9165757,77.6101163
12.9698196,77.7499721,12.9865019,77.7439303
13.0234533,77.7164616,13.0172076,77.6577424
12.964978,77.716612,12.990976,77.7157208
13.0043255,77.6643937,12.9727083,77.7108456
12.9847459,77.5469828,12.9727083,77.7108456
12.937882,77.6930631,12.927743,77.680894
12.9185429,77.6219068,12.9165757,77.6101163
12.9189937,77.6326178,12.9165757,77.6101163
12.8439867,77.6739127,12.937058,77.578796
12.9847459,77.5469828,12.9727083,77.7108456
13.0172076,77.6577424,13.0949387,77.5940678
13.0417794,77.552672,12.9744437,77.7008061
12.9727083,77.7108456,13.0949387,77.5940678
12.916715,77.6140908,12.933478,77.615213
12.996993,77.669031,12.9726771,77.6318043
12.9727083,77.7108456,13.0375689,77.6272688
12.9165757,77.6101163,12.9351433,77.6120748
13.0254635,77.6615079,12.9493125,77.6447767
13.0234533,77.7164616,13.0375689,77.6272688
12.9352273,77.6244331,12.9226373,77.6174442
13.0375689,77.6272688,12.848853,77.6920608
12.9727083,77.7108456,13.0234533,77.7164616
12.9571754,77.7008759,12.9727083,77.7108456
12.853924,77.666075,12.9727083,77.7108456
12.9015221,77.6507423,12.9727083,77.7108456
12.9847459,77.5469828,12.9727083,77.7108456
12.9212464,77.6090359,12.9083215,77.6050777
13.0278742,77.5423448,12.9727083,77.7108456
12.9447501,77.5288563,12.9727083,77.7108456
12.934891,77.612078,12.9164812,77.6219055
13.1154662,77.6069977,13.0790322,77.604432
12.9352273,77.6244331,12.9351433,77.6120748
13.0658792,77.6042056,13.0247291,77.5947532
12.9164812,77.6219055,12.9783692,77.6408356
13.0949387,77.5940678,13.0172076,77.6577424
12.9351433,77.6120748,12.8578279,77.6629182
12.9310815,77.6013779,12.9158484,77.6102649
12.9847459,77.5469828,12.9727083,77.7108456
12.853924,77.666075,12.9727083,77.7108456
13.0228589,77.5568718,13.0012217,77.6081089
13.1154662,77.6069977,12.9201596,77.6512411
12.9431576,77.6087124,13.1216655,77.6137441
12.9711727,77.7502355,13.0736033,77.5632559
12.9736466,77.6066249,12.9727083,77.7108456
13.0278742,77.5423448,12.9847459,77.5469828
12.9847459,77.5469828,12.9727083,77.7108456
12.9727083,77.7108456,13.0375689,77.6272688
12.906489,77.6910414,13.0136868,77.7621256
12.906489,77.6910414,13.0062012,77.6583817
12.9856389,77.6444128,12.9352156,77.6199608
12.9791276,77.6466788,13.0571182,77.548002
13.151528,77.556336,13.0172076,77.6577424
12.985733,77.645268,12.8008093,77.7171429
12.9856284,77.6444642,12.8008093,77.7171429
12.9856284,77.6444642,12.9770311,77.7530339
12.9856284,77.6444642,13.0227074,77.6479373
12.9856284,77.6444642,12.9563899,77.6976786
12.9727083,77.7108456,13.0375689,77.6272688
12.8980978,77.6448425,13.0172076,77.6577424
12.965021,77.7115841,12.990976,77.7157208
12.990976,77.7157208,12.9056693,77.6815285
12.9859106,77.645004,12.9687093,77.5798997
12.9791276,77.6466788,12.966486,77.6131155
12.9859106,77.645004,12.9267818,77.600699
12.9869094,77.6479666,12.8028175,77.7831543
12.9997842,77.7571291,12.908919,77.6518441
12.9859106,77.645004,12.9154698,77.5566174
12.9859106,77.645004,12.8960529,77.5701606
12.9121934,77.65251,13.0375689,77.6272688
12.9044382,77.5649278,12.9659549,77.5776497
12.9859106,77.645004,12.9985023,77.5569472
12.8873406,77.5887412,12.8829287,77.6117254
13.0172076,77.6577424,12.9121934,77.65251
12.9675,77.578383,12.9314583,77.6299858
13.0115719,77.7395631,12.9489488,77.6885319
12.9668438,77.6028041,12.8830436,77.760345
12.9859106,77.645004,13.114773,77.374746
13.0234533,77.7164616,12.9207667,77.6526409
12.9783692,77.6408356,12.9352273,77.6244331
12.9662011,77.6038129,12.8830436,77.760345
12.8476155,77.6621557,12.9121934,77.65251
12.9431576,77.6087124,12.890984,77.6400098
12.9431576,77.6087124,12.8430636,77.656476
12.9836529,77.7457893,12.9121181,77.6445548
12.8821981,77.5788776,12.9207667,77.6526409
12.9753928,77.7439866,12.9207667,77.6526409
12.985712,77.644678,13.0381828,77.5182756
13.0234533,77.7164616,12.9207667,77.6526409
12.9859106,77.645004,13.0330706,77.6403412
12.9859106,77.645004,12.995551,77.529954
12.9859106,77.645004,13.0697279,77.5787819
12.9859106,77.645004,12.8794276,77.5680317
12.9859106,77.645004,12.9204609,77.5920295
12.9600175,77.5693382,13.0230839,77.6974378
12.9629354,77.7122996,12.990976,77.7157208
12.9600175,77.5693382,13.0230839,77.6974378
12.9662011,77.6038129,12.8830436,77.760345
